Item,Price
Stumpton Coffee - Chocolate Cold Brew with OATLY,5
Stumpton Coffee - Original Cold Brew with OATLY,5
Stumpton Coffee - Horchata Cold Brew with OATLY,5
Muscle Milk - Muscle Milk PRO - intense vanilla,7
Muscle Milk - Muscle Milk PRO - slammin' strawberry,7
Muscle Milk - Muscle Milk PRO - knockout chocolate,7
Core Power - Fairlife - Strawberry Banana,3.1
Core Power - Fairlife -  Chocolate,3.1
Core Power - Fairlife - Ultra Filtered Milk,3.1
Poppi - Orange,3.35
Poppi -  Doc Pop,3.35
Poppi - Strawberry Lemon,3.35
Poppi - Cherry Cola,3.35
Poppi - Lemon Lime,3.35
Poppi -  Raspberry Rose,3.35
Poppi - Ginger Lime,3.35
Poppi - Watermelon,3.35
Poppi - Root Beer,3.35
Poppi - Classic Cola,3.35
Olipop - Cherry Vanilla,3.5
Sanzo Sparkling - Yuzu,3.25
Sanzo Sparkling - Lychee,3.25
Sanzo Sparkling - Mango,3.25
Boxed Water - Water,3
Tractor - Mango,3.5
Tractor - Strawberry,3.5
Tractor - Lemon,3.5
Tractor - Grape,3.5
Just Ice Tea - Morrocan Mint,3.25
Just Ice Tea - HIbiscus,3.25
Just Ice Tea - Half Tea and Half Lemonade,3.25
Just Ice Tea - Green Tea Honey,3.25
Health Ade Kombucha - Pomegranate-blueberry,5
Health Ade Kombucha - Ginger lemon,5
Wondermelon Juice - Watermelon cucumber basil,4.5
Copra - Young thai coconut vater,4.75
essential - bottled water,2.25
Red jacket - Fuji,3.5
Red jacket - Ny Style lemonade,3.5
Poland Spring - Orange,2.2
Poland Spring - Lime,2.2
Poland Spring - Lemon,2.2
Poland Spring - Strawberry Lime,2.2
Moshi Sparkling - Red Shisho and Apple,3.5
Moshi Sparkling - White Peach,3.5
Natalie's - Natural Lemonade,4.5
OWYN - Cookies & Creamless,5
OWYN - Dark Chocolate,5
OWYN - Cold Brew Coffee,5
La Colombe - Draft Latte- Mocha,4.4
La Colombe - Draft Latte- Vanilla,4.4
La Colombe - Draft Latte- Triple,4.4
Noka Smoothie - Mango Coconut,3.9
Noka Smoothie - Blueberry Beet,3.9
Orbit - Wrigley Orbit Gum,2.5
Tic Tac - Tic Tac- Winter Green,2.5
Honees - Honey Menthol Eucalyptes Drops,-1
Pur Gum - Peppermint,2.5
Pur Gum - Spearmint,2.5
m&ms - Peanut M&MS,2.5
m&ms - M&MS,2.5
Sanders - Sea Salt Caramel,3
Kitkat - KitKat,2.5
Reese's - Peanut Butter Cups,2.5
Hershey's - Milk Chocolate,-1
Loaker - Wafers- Classic,2
Yale - Commons To Go -  Pasta Pulliese,12
Yale - Commons To Go -  Chicken Dumplings,12
Yale - Commons To Go -  Pork Dumplings,12
Kodiak - Flapjack Power Cup - Buttermilk & Maple,4
Kodiak - Flapjack Power Cup - Chocolate Chip & Maple,4
Bob's Red Mill - Gluten Free Oatmeal  - Apple pieces and Cinnamon,3.9
Bob's Red Mill - Gluten Free Oatmeal - Classic,3.9
Bob's Red Mill - Gluten Free Oatmeal - Brown Sugar and Maple,3.9
Catalina Crunch - Cereal - Cinnamon Toast ,10.35
Catalina Crunch - Cereal - Dark Chocolate,10.35
Cinnamon Toast Crunch - Cereal,2.4
Cocoa Puffs - Cereal,2.4
Lucky Charms - Cereal,2.4
Cheerios - Cereal,2.4
Cheerios - Multi Grain Cereal,2.4
88 Acres - Bar - Dark Chocolate Sea Salt,3
88 Acres - Bar - Blueberry Lemon,3
88 Acres - Bar - Oatmeal Chocolate Chip,3
88 Acres - Bar - Cinnamon Maple,3
"Bob's Red Mill - Bob's Bar - Peanut Butter, Coconut & Oats",-1
RXBAR - Chocolate Sea Salt,3.25
RXBAR - Peanut Butter Chocolate,3.25
RXBAR - Nut Butter & Oat,3.25
GoMacro - Bar - Peanut Butter,3.5
GoMacro - Bar - Dark Chocolate + Almond,3.5
GoMacro - Bar - Maple Sea Salt,3.5
GoMacro - Bar - Banana + Almond Butter,3.5
Kind - Bar - Dark Chocolate Nuts & Sea Salt,3
Kind - Bar - Caramel Almond & Sea Salt,3
Kind - Bar - Dark Chocolate Cherry Cashew,3
Kind - Bar - Almond & Choconut,3
Clif - Bar - Chocolate Peanut Butter,3
Clif - Bar - Blueberry Almond Crisp,3
Clif - Bar - Crunchy Peanut Butter,3
Clif - Bar - Chocolate Brownie,3
Nature's Bakery - Fig Bar - Raspberry,2.5
Nature's Bakery - Fig Bar - Original Fig,2.5
Nature's Bakery - Fig bar - Blueberry,2.5
Santa Cruz - Apple Sauce,2.5
Good Culture - Low Fat Cottage Cheese- Blueberry,3.5
